Andes_species ;status_in phylogeny;phyloname
Adelomyia melanogenys;sampled;'Adelomyia.sp.nov.Valqui.681'
Aglaeactis aliciae;add;Aglaeactis_aliciae
Aglaeactis castelnaudii;sampled;'Aglaeactis.castelnaudii.8215'
Aglaeactis cupripennis;sampled;'Aglaeactis.cupripennis.6304'
Aglaeactis pamela;sampled;'Aglaeactis.pamela.106743'
Aglaiocercus berlepschi;add;Aglaiocercus_berlepschi
Aglaiocercus coelestis;sampled;'Aglaiocercus.coelestis.7813'
Aglaiocercus kingii;sampled;'Agliocercus.kingi.8017'
Amazilia amabilis;sampled;'Amazilia.amabilis.28483'
Amazilia amazilia;sampled;'Amazilia.amazilia.14263'
Amazilia castaneiventris;sampled;'Amazilia.castaneiventris.oc'
Amazilia chionogaster;sampled;'Amazilia.chionogaster.17165'
Amazilia chionopectus;sampled;'Amazilia.chionopectus.35896'
Amazilia cyanifrons;missing;Amazilia_cyanifrons
Amazilia edward;sampled;'Amazilia.edward.2303'
Amazilia fimbriata;sampled;'Amazilia.fimbriata.5956'
Amazilia franciae;sampled;'Amazilia.franciae.12063'
Amazilia lactea;sampled;'Amazilia.lactea.9484'
Amazilia leucogaster;sampled;Amazilia.leucogaster.ansp8392'
Amazilia rosenbergi;sampled;'Amazilia.rosenbergi.zmc114807'
Amazilia saucerottei;poly/paraphyletic;Amazilia.saucer.hof.fmnh393025'
Amazilia tobaci;poly/paraphyletic;'Amazilia.tobaci.35895'
Amazilia tzacatl;sampled;'Amazilia.tzacatl.16538'
Amazilia versicolor;sampled;'Amazilia.versicolor.fmnh395409'
Amazilia viridicauda;sampled;'Amazilia.viridicauda.8158'
Amazilia viridigaster;sampled;'Amazilia.viridigaster.7490'
Androdon aequatorialis;sampled;'Androdon.aequatorialis.1402'
Anthocephala floriceps;sampled;'Anthoc.floriceps.Juan.i1269'
Anthocephala berlepschi;add;Anthocephala_berlepschi
Anthracothorax nigricollis;sampled;'Anthrac.nigricollis.9552'
Anthracothorax prevostii;sampled;'Anthrac.prevostii.nmnhb360'
Anthracothorax viridigula;sampled;'Anthrac.viridigula.fmnh391258'
Avocettula recurvirostris;sampled;'Avocettula.recurv.fmnh334368'
Boissonneaua flavescens;sampled;'Boissonn.flavescens.12099'
Boissonneaua jardini;sampled;'Boissonn.jardini.ANSP15805'
Boissonneaua matthewsii;sampled;'Boisson.mathewsii.8130'
Calliphlox amethystina;sampled;'Calliphlox.amet.nmnhb10703'
Calliphlox mitchellii;sampled;'Calliphlox.mitchellii.2310'
Campylopterus ensipennis;sampled;'Campylopterus.ensipennis.ce115'
Campylopterus falcatus;sampled;'Campylopt.falcatus.Juan.i4641'
Campylopterus largipennis;sampled;'Campylopt.largipennis.4474'
Campylopterus phainopeplus;add;Campylopterus_phainopeplus
Campylopterus villaviscensio;sampled;'Campylopt.villaviscen.5588'
Chaetocercus mulsant;not_in_andes;'Chaetocercus.mulsant.6301'
Chaetocercus bombus;not_in_andes;'Chaetocercus.bombus.5225'
Chaetocercus astreans;add;Chaetocercus_astreans
Chaetocercus berlepschi;add;Chaetocercus_berlepschi
Chaetocercus heliodor;sampled;Chaetocercus_heliodor
Chaetocercus jourdanii;missing;Chaetocercus_jourdanii
Chalcostigma herrani;sampled;'chalcostigma.herrani.6277'
Chalcostigma heteropogon;add;Chalcostigma_heteropogon
Chalcostigma olivaceum;sampled;'Chalco.olivaceum.103800'
Chalcostigma ruficeps;sampled;'chalcostigma.ruficeps.1293'
Chalcostigma stanleyi;sampled;'Chalco.stanleyi.nk195810'
Chalybura buffonii;sampled;'Chalybura.buffonii.26911'
Chalybura urochrysia;sampled;'Chalybura.urochrysia.28467'
Chlorostilbon alice;add;Chlorostilbon_alice
Chlorostilbon assimilis;sampled;'Chlorostilb.assim.b46483'
Chlorostilbon gibsoni;missing;Chlorostilbon_gibsoni
Chlorostilbon lucidus;sampled;Chlorostilb.aureoventris.18899'
Chlorostilbon melanorhynchus;sampled;'Chlorostilb.melanorhynch.6327'
Chlorostilbon mellisugus;sampled;Chlorostilbon.mellisugus.9450'
Chlorostilbon poortmani;sampled;'Chlorostilb.poortmani.Juan.i4198'
Chlorostilbon russatus;add;Chlorostilbon_russatus
Chlorostilbon stenurus;add;Chlorostilbon_stenurus
Chrysolampis mosquitus;sampled;Chrysolamp.mosquit.NMNH12236
Chlorestes notata;not_in_andes;'Chlores.not.cyan.fmnh392810'
Chlorostilbon canivetii;not_in_andes;'Chlorostil.canivetii.burkdab1591'
Cynanthus latirostris;not_in_andes;'Cynanthus.latirostris.33304'
Chrysuronia oenone;sampled;'Chrysuronia.oenone.5381'
Coeligena bonapartei;sampled;'Coelig.bonapartei.Juan.i2271'
Coeligena coeligena;sampled;'Coeligena.coeligena.8015'
Coeligena helianthea;sampled;'Coelig.helianthea.Juan.2504'
Coeligena iris;sampled;'Coeligena.iris.31770'
Coeligena lutetiae;sampled;'Coeligena.lutetia.340'
Coeligena orina;sampled;'Coelig.orina.Juan.i5169'
Coeligena phalerata;sampled;'Coelig.phalerata.Juan.i485'
Coeligena prunellei;sampled;'Coelig.prunellei.Juan42'
Coeligena torquata;sampled;'Coel.torquata.inca.AMNHDOT2599'
Coeligena violifer;sampled;'Coeligena.violifer.8200'
Coeligena wilsoni;sampled;'Coeligena.wilsoni.7858'
Colibri coruscans;sampled;'Colibri.coruscans.6310'
Colibri delphinae;sampled;'Colibri.delphinae.5403'
Colibri serrirostris;sampled;'Colibri.serrirostris.14576'
Colibri thalassinus;sampled;'Colibri.thalassinus.28263'
Juliamyia julie;sampled;'Damophila.julie.28497'
Discosura conversii;sampled;'Discosura.conversii.16064'
Discosura langsdorffi;sampled;'Discosura.langsdorfii.9633'
Discosura popelairii;sampled;'Discosura.popelairii.5950'
Doryfera johannae;sampled;'Doryfera.johannae.1728'
Doryfera ludovicae;sampled;'Doryfera.ludovicae.1802'
Ensifera ensifera;sampled;'Ensifera.ensifera.8224'
Eriocnemis aline;sampled;'Eriocnemis.alinae.1805'
Eriocnemis cupreoventris;sampled;'Eriocn.cupreiventris.Juan.i2558'
Eriocnemis derbyi;sampled;Eriocnemis.derbyi.ANSP15698'
Eriocnemis glaucopoides;sampled;Eriocn.glaucopoides.uwbm77170'
Eriocnemis luciani;sampled;Eriocnemis.luciani.6337'
Eriocnemis mirabilis;add;Eriocnemis_mirabilis
Eriocnemis mosquera;sampled;Eriocnemis.mosquera.6335'
Eriocnemis nigrivestis;sampled;Eriocnem.nigrivestis.zmc114629'
Eriocnemis sapphiropygia;missing;Eriocnemis_sapphiropygia
Eriocnemis vestita;sampled;Eriocnemis.vestitus.324'
Eulidia yarrellii;sampled;'Eulidia.yarrellii_Wouter'
Eupetomena macroura;sampled;'Eupetomena.macroura.15299'
Eutoxeres aquila;sampled;'Eutoxeres.aquila.2110'
Eutoxeres condamini;sampled;'Eutoxeres.condamini.8094'
Florisuga mellivora;sampled;'Florisuga.mellivora.9646'
Glaucis aeneus;sampled;'Glaucis.aeneus.nmnhb368'
Glaucis hirsutus;sampled;'Glaucis.hirsuta.28468'
Goethalsia bella;sampled;'Goethalsia.bella.2111'
Goldmania violiceps;sampled;'Goldmania.violiceps.28405'
Haplophaedia assimilis;add;Haplophaedia_assimilis
Haplophaedia aureliae;sampled;Haplophaedia.aureliae.32971'
Haplophaedia lugens;sampled;'Haplophaedia.lugens.30032'
Heliangelus spencei;add;Heliangelus_spencei
Heliangelus amethysticollis;sampled;'Heliangelus.amethysticol.6246'
Heliangelus clarisse;add;Heliangelus_clarisse
Heliangelus exortis;poly/paraphyletic;'Heliangelus.exortis.JVLP40'
Heliangelus mavors;add;Heliangelus_mavors
Heliangelus micraster;poly/paraphyletic;'Heliangelus.micraster.34698'
Heliangelus regalis;sampled;'Heliangelus.regalis.5532'
Heliangelus strophianus;sampled;'Heliangelus.strophianus.6296'
Heliangelus viola;sampled;'Heliangelus.viola.32370'
Heliodoxa aurescens;sampled;'Heliodoxa.aurescens.6789'
Heliodoxa branickii;sampled;'Heliodoxa.branickii.1996'
Heliodoxa gularis;sampled;'Heliodoxa.gularis.5428'
Heliodoxa imperatrix;sampled;'Heliodoxa.imperatrix.12088'
Heliodoxa jacula;sampled;'Heliodoxa.jacula.16037'
Heliodoxa leadbeateri;sampled;'Heliodoxa.leadbeateri.6036'
Heliodoxa rubinoides;sampled;'Heliodoxa.rubinoides.1651'
Heliodoxa schreibersii;sampled;'heliodoxa.schreibersii.5440'
Heliomaster furcifer;sampled;'Heliomaster.furcifer.6709'
Heliomaster longirostris;sampled;'Heliomaster.longirostris.18268'
Heliothryx auritus;sampled;Heliothryx.aurita.6913'
Heliothryx barroti;sampled;'Heliothryx.barroti.12039'
Hylocharis chrysura;sampled;Hylocharis.chrysura.1503'
Hylocharis cyanus;sampled;'Hylocharis.cyanus.rostrata.9547'
Hylocharis eliciae;sampled;'Hylocharis.eliciae.16074'
Hylocharis grayi;sampled;Hylocharis.grayi.ansp.5064'
Hylocharis humboldtii;missing;Hylocharis_humboldtii
Hylocharis sapphirina;sampled;'Hylocharis.sapphirina.12912'
Hylonympha macrocerca;add;Hylonympha_macrocerca
Klais guimeti;sampled;'Klais.guimeti.6168'
Lafresnaya lafresnayi;sampled;'Lafresnaya.lafresnayi.32771'
Lepidopyga coeruleogularis;sampled;'Lepido.coerul.b46528'
Lepidopyga goudoti;sampled;'Lepidopyga.goudoti.jcc'
Lepidopyga lilliae;add;Lepidopyga_lilliae
Lesbia nuna;sampled;'Lesbia.nuna.3615'
Lesbia victoriae;sampled;'Lesbia.victoriae.zmc.113657'
Leucippus baeri;sampled;Leucippus.baeri.5232'
Leucippus chlorocercus;sampled;'Leucippus.chlorocercus.7264'
Leucippus fallax;sampled;'Leucippus.fallax.stri.velfa2'
Leucippus taczanowskii;sampled;'Leucippus.taczanowski.33447'
Loddigesia mirabilis;sampled;'Lodiggesia.mirabilis.44698'
Lophornis chalybeus;sampled;Lophornis.chalybeus.9399'
Lophornis delattrei;sampled;'Lophornis.delattrei.22644'
Lophornis ornatus;missing;NA
Lophornis stictolophus;missing;Lophornis_stictolophus
Metallura aeneocauda;sampled;'Metallura.aeneocauda.1236'
Metallura baroni;sampled;'Metallura.baroni.zmc113658'
Metallura eupogon;sampled;'Metallura.eupogon.Jaime'
Metallura iracunda;add;Metallura_iracunda
Metallura odomae;sampled;'Metallura.odomae.353'
Metallura phoebe;sampled;'Metallura.phoebe.103876'
Metallura theresiae;sampled;'Metallura.theresiae.3534'
Metallura tyrianthina;sampled;'Metallura.tyrianthina.6272'
Metallura williami;sampled;'Metallura.williami.5939'
Microstilbon burmeisteri;sampled;'Microstilbon.burmeist.zmc.114832'
Myrmia micrura;sampled;'myrmia.micrura.5233'
Myrtis fanny;sampled;'Myrtis.fanny.3592'
Ocreatus underwoodii;sampled;'Ocreatus.underwoodii.jplv39'
Ocreatus addae;add;Ocreatus_addae
Ocreatus peruanus;add;Ocreatus_peruanus
Opisthoprora euryptera;sampled;'Opisthopr.euryptera.zmc115166'
Oreonympha nobilis;sampled;'Oreonympha.nobilis.fmnh324115'
Oreotrochilus adela;missing;Oreotrochilus_adela
Oreotrochilus chimborazo;sampled;'oreotroch.chimborazo.zmc114549'
Oreotrochilus estella;poly/paraphyletic;oreotroch.estella.103835'
Oreotrochilus leucopleurus;missing;Oreotrochilus_leucopleurus
Oreotrochilus melanogaster;sampled;'oreotroch.melanogaster.2077'
Oreotrochilus stolzmanni;sampled;Oreotroch.stolzmani.ANSP19519
Oreotrochilus cyanolaemus;add;Oreotrochilus_cyanolaemus
Oxypogon guerinii;sampled;'Oxypogon.guerini.zmc115370'
Oxypogon cyanolaemus;add;Oxypogon_cyanolaemus
Oxypogon lindenii;add;Oxypogon_lindenii
Oxypogon stuebelii;add;Oxypogon_stuebelii
Patagona gigas;sampled;'Patagona.gigas.b7903'
Phaeochroa cuvierii;sampled;'Phaeochroa.cuvierii.26913'
Phaethornis anthophilus;sampled;'Phaethornis.anthophilus.umt594'
Phaethornis atrimentalis;sampled;'Phaethornis.atrimentalis.1969'
Phaethornis augusti;sampled;'Phaethornis.augusti.um.t604'
Phaethornis bourcieri;sampled;'Phaethornis.bourcieri.11017'
Phaethornis griseogularis;sampled;'Phaethornis.griseo.5571'
Phaethornis guy;sampled;'Phaethornis.guy.35966'
Phaethornis hispidus;sampled;'Phaethornis.hispidus.10629'
Phaethornis koepckeae;sampled;'Phaethornis.koepckeae.5479'
Phaethornis longirostris;sampled;'Phaeth.longirostris.nmnhb310'
Phaethornis longuemareus;sampled;'Phaeth.longuemareus.35952a'
Phaethornis malaris;sampled;'Phaethornis.malaris.27511'
Phaethornis philippii;sampled;'Phaethornis.philippii.8868'
Phaethornis pretrei;sampled;Phaethornis.pretrei.14702'
Phaethornis ruber;sampled;Phaethornis.ruber.9481'
Phaethornis striigularis;sampled;'Phaethornis.striigularis.b28411'
Phaethornis stuarti;missing;Phaethornis_stuarti
Phaethornis subochraceus;missing;Phaethornis_subochraceus
Phaethornis syrmatophorus;sampled;'Phaeth.syrmat.Jaime'
Phaethornis yaruqui;sampled;'Phaethornis.yaruqui.7812'
Phlogophilus harterti;sampled;'Phlogophilus.harteri.KU18505'
Phlogophilus hemileucurus;sampled;'Phlogophilus.hemileucurus.5999'
Polyonymus caroli;sampled;'Polyonymus.caroli.Valqui680'
Polytmus guainumbi;sampled;'Polytmus.guainumbi.6691'
Pterophanes cyanopterus;sampled;'Pterophanes.cyanopterus.1296'
Ramphomicron dorsale;add;Ramphomicron_dorsale
Ramphomicron microrhynchum;sampled;'Ramphomicron.microrhyn.8376'
Rhodopis vesper;sampled;'Rhodopis.vesper.jose2'
Sappho sparganurus;sampled;'Sappho.sparganura.1195'
Schistes geoffroyi;sampled;Schistes.geoffroyi.6300'
Sephanoides sephaniodes;sampled;'Sephanoides.sephanoides.mr613'
Sternoclyta cyanopectus;add;Sternoclyta_cyanopectus
Taphrolesbia griseiventris;sampled;'Taphrolesbia.griseivent.10388'
Taphrospilus hypostictus;sampled;'Taphrospilus.hypostictus.5465'
Thalurania colombica;sampled;'Thalurania.colombica.11793'
Thalurania fannyi;sampled;'Thalurania.fannyi.11728'
Thalurania furcata;sampled;'Thalurania.furcata.22683'
Thaumastura cora;sampled;'Thaumastura.cora.14278'
Threnetes leucurus;sampled;'Threnetes.leucurus.2673'
Threnetes ruckeri;sampled;'Threnetes.ruckeri.28170'
Topaza pyra;sampled;'Topaza.pyra.b42522'
Urochroa bougueri;sampled;'Urochroa.bougueri.zmc114654'
Urosticte benjamini;sampled;'Urosticte.benjamani.5546'
Urosticte ruficrissa;sampled;'Urosticte.ruficrissa.Juan.i2325'
Eugenes fulgens;not_in_andes;'Eugenes.fulgens.9964'
Lamprolaima rhami;not_in_andes;Lamprolaima.rhami.22001'
Urochroa leucura;add;Urochroa_leucura
Stephanoxis lalandi;not_in_andes;Stephanoxis.lalandi.25958'
Orthorhyncus cristatus;not_in_andes;'Orthorhyncus.cristatus.11526'
Amazilia brevirostris;sampled;Amazilia.brevirost.nmnhb11307
Lophornis verreauxii;missing;Lophornis_verreauxii
Schistes albogularis;missing;Schistes_albogularis
